Wall time,Step,Value
1582142002.9293768,6634,60.0
1582142005.0417075,6673,37.0
1582142008.1432056,6737,61.0
1582142010.2595427,6777,38.0
1582142015.3649848,6879,97.0
1582142018.4824576,6942,60.0
1582142020.5902226,6981,37.0
1582142024.683467,7062,77.0
1582142026.790025,7104,40.0
1582142028.8964097,7159,53.0
1582142031.998948,7213,51.0
1582142036.1112676,7294,77.0
1582142039.2178366,7357,60.0
1582142041.3276873,7400,41.0
1582142044.4500759,7470,67.0
1582142046.5667796,7511,39.0
1582142048.679708,7557,44.0
1582142051.7880733,7607,47.0
1582142055.8967948,7702,91.0
1582142061.0014155,7804,97.0
1582142064.0971067,7869,62.0
1582142067.2055862,7924,52.0
1582142069.3068879,7960,34.0
1582142071.4158201,8012,50.0
1582142075.5321712,8103,87.0
1582142078.6496768,8159,53.0
1582142080.7565548,8199,38.0
1582142082.8680537,8232,31.0
1582142085.0040529,8277,43.0
1582142088.1062279,8345,65.0
1582142090.209925,8383,36.0
1582142093.3055048,8461,75.0
1582142096.4352157,8513,49.0
1582142098.54788,8555,40.0
1582142100.681829,8603,46.0
1582142105.8348775,8700,92.0
1582142107.9543087,8750,48.0
1582142110.065046,8795,43.0
1582142113.1669993,8856,58.0
1582142117.2738557,8941,81.0
1582142121.3919432,9018,73.0
1582142124.491338,9088,67.0
1582142128.6038356,9157,65.0
1582142131.7208676,9221,61.0
1582142133.8405893,9276,53.0
1582142135.9585433,9307,29.0
1582142139.066412,9368,58.0
1582142141.1723282,9420,50.0
1582142144.2795753,9484,61.0
1582142152.3685925,9653,161.0
1582142154.4808967,9691,36.0
1582142158.6063972,9778,83.0
1582142163.7261198,9876,93.0
1582142167.8332322,9972,92.0
1582142170.9333043,10023,48.0
1582142173.0378048,10060,35.0
1582142174.1535935,10092,31.0
1582142178.2567675,10177,81.0
1582142183.3481166,10276,94.0
1582142187.4438198,10358,78.0
1582142195.598413,10521,155.0
1582142197.7130308,10568,45.0
1582142201.8264883,10657,85.0
1582142204.9321792,10713,53.0
1582142208.0357196,10781,65.0
1582142214.1428795,10904,117.0
1582142218.2405841,10997,89.0
1582142223.3229623,11095,93.0
1582142228.4036212,11195,95.0
1582142233.4705164,11303,103.0
1582142239.5167036,11434,125.0
1582142245.5820348,11563,123.0
1582142251.8021321,11686,117.0
1582142256.9069438,11795,104.0
1582142260.98369,11882,83.0
1582142269.0416338,12043,153.0
1582142278.1194494,12241,189.0
1582142297.1581852,12627,367.0
1582142403.0257258,14849,2116.0
1582142404.1400375,14876,26.0
1582142408.2488306,14968,88.0
1582142415.342731,15100,125.0
1582142421.4322674,15235,129.0
1582142423.5459676,15270,33.0
1582142425.6577895,15309,37.0
1582142428.7687137,15373,61.0
1582142430.889229,15428,53.0
1582142437.98903,15576,141.0
1582142441.095517,15636,57.0
1582142446.1895804,15744,103.0
1582142602.0366354,19005,3105.0
1582142604.1404145,19065,58.0
1582142611.222874,19202,130.0
1582142620.3057122,19400,189.0
1582142632.358476,19646,234.0
1582142695.497536,20973,1264.0
1582142701.595974,21096,117.0
1582142704.7135057,21149,50.0
1582142707.829654,21210,58.0
1582142710.9315498,21278,65.0
1582142712.0413623,21295,16.0
1582142715.1344388,21360,62.0
1582142717.2610488,21403,41.0
1582142719.3672733,21450,45.0
1582142721.4738798,21493,41.0
1582142724.57719,21565,69.0
1582142726.687965,21605,38.0
1582142728.8011966,21638,31.0
1582142729.917579,21668,29.0
1582142733.029431,21724,53.0
1582142736.1651943,21792,65.0
1582142741.3317678,21889,92.0
1582142745.4330964,21977,84.0
1582142940.9854252,26094,3921.0
1582142947.091718,26213,113.0
1582142950.1926193,26278,62.0
1582142952.3093927,26325,45.0
1582142954.4221773,26359,32.0
1582142956.5321147,26405,44.0
1582142957.6471589,26435,29.0
1582142960.7537813,26482,44.0
1582142961.866237,26516,33.0
1582142963.9682453,26563,45.0
1582142966.0793557,26604,39.0
1582142968.1828065,26644,38.0
1582142970.296531,26684,38.0
1582142972.406435,26726,40.0
1582142974.5103972,26773,45.0
1582142977.6234937,26820,44.0
1582142978.7367113,26854,33.0
1582142980.9252064,26888,32.0
1582142983.0539074,26931,41.0
1582142985.167971,26966,33.0
1582142986.294008,27004,37.0
1582142988.4036126,27044,38.0
1582142991.511718,27092,45.0
1582142993.625201,27134,40.0
1582142995.7308276,27176,40.0
1582142997.8547075,27219,41.0
1582142999.9663815,27261,40.0
