Wall time,Step,Value
1582136760.0138931,4044,20.0
1582136761.1298432,4062,18.0
1582136762.0077412,4077,15.0
1582136762.631694,4088,11.0
1582136763.7510858,4109,21.0
1582136765.879876,4148,39.0
1582136766.7446349,4160,12.0
1582136768.6125727,4198,38.0
1582136769.2317927,4209,11.0
1582136769.8566763,4217,8.0
1582136770.8506298,4230,7.0
1582136772.5965037,4262,18.0
1582136773.4655526,4279,17.0
1582136774.3388093,4293,14.0
1582136775.3357167,4305,12.0
1582136775.5875425,4310,5.0
1582136776.4592636,4325,15.0
1582136777.3279006,4342,17.0
1582136777.9488416,4353,11.0
1582136778.8177361,4367,14.0
1582136779.9342458,4385,18.0
1582136781.0505023,4406,21.0
1582136782.667709,4437,31.0
1582136783.5422916,4454,17.0
1582136785.3241177,4480,9.0
1582136786.4632645,4503,23.0
1582136787.581876,4520,17.0
1582136788.9457197,4546,26.0
1582136790.0626826,4567,21.0
1582136791.6754375,4599,32.0
1582136792.7933733,4615,16.0
1582136794.6590037,4650,35.0
1582136795.777103,4672,22.0
1582136797.885517,4714,42.0
1582136800.252136,4757,43.0
1582136801.8723593,4785,28.0
1582136804.863039,4844,39.0
1582136806.4774551,4870,26.0
1582136807.8433447,4896,26.0
1582136808.9580219,4916,20.0
1582136809.8258674,4933,17.0
1582136810.4461756,4944,11.0
1582136811.8137965,4967,23.0
1582136813.4342875,4999,32.0
1582136814.305368,5013,14.0
1582136815.6800475,5039,26.0
1582136817.0484488,5064,25.0
1582136822.534122,5167,78.0
1582136823.9029639,5194,27.0
1582136827.7048802,5260,31.0
1582136829.328067,5292,32.0
1582136831.9376473,5342,50.0
1582136833.8029385,5378,36.0
1582136835.172235,5404,26.0
1582136837.0379689,5437,33.0
1582136838.6576998,5465,28.0
1582136840.5293515,5503,38.0
1582136843.140375,5550,47.0
1582136844.5131826,5576,26.0
1582136846.131943,5606,30.0
1582136847.5018342,5633,27.0
1582136849.3784294,5665,32.0
1582136855.978276,5790,32.0
1582136860.9521992,5886,38.0
1582136865.1771715,5966,47.0
1582136866.7912436,5996,30.0
1582136867.9129443,6019,23.0
1582136870.0363636,6057,38.0
1582136872.40728,6103,46.0
